,reward,performance,loss,episode,reward_smooth,performance_smooth
242,-27.0,-32.0,8522.984765958507,242.0,-45.55,-50.35
243,-27.0,-37.0,2359.2201,243.0,-45.0,-49.85
244,22.0,17.0,9042.551573974255,244.0,-44.53,-49.43
245,23.0,8.0,4662.2001,245.0,-43.52,-48.57
246,-28.0,-38.0,0.0,246.0,-43.49,-48.54
247,38.0,28.0,2412.0,247.0,-42.82,-47.87
248,-33.0,-43.0,0.0,248.0,-42.88,-47.93
249,-76.0,-76.0,0.0,249.0,-43.31,-48.36
250,-78.0,-88.0,26884.051883072363,250.0,-43.82,-48.97
251,-29.0,-39.0,0.0,251.0,-43.35,-48.6
252,-84.0,-84.0,0.0,252.0,-43.87,-49.07
253,-29.0,-39.0,0.0,253.0,-43.84,-49.04
254,-79.0,-89.0,0.0,254.0,-43.79,-48.99
255,-26.0,-36.0,0.0,255.0,-43.72,-48.92
256,-83.0,-83.0,0.0,256.0,-43.69,-48.84
257,-24.0,-34.0,0.0,257.0,-43.62,-48.87
258,-81.0,-91.0,0.0,258.0,-44.17,-49.47
259,-28.0,-38.0,0.0,259.0,-44.2,-49.6
260,-80.0,-80.0,0.0,260.0,-44.68,-49.98
261,-80.0,-80.0,0.0,261.0,-44.63,-49.93
262,-72.0,-77.0,0.0,262.0,-45.06,-50.36
263,-35.0,-35.0,0.0,263.0,-45.12,-50.27
264,-36.0,-46.0,0.0,264.0,-45.22,-50.37
265,-80.0,-80.0,0.0,265.0,-45.69,-50.84
266,-78.0,-78.0,0.0,266.0,-45.68,-50.83
267,-30.0,-40.0,0.0,267.0,-45.64,-50.79
268,-82.0,-92.0,27655.425193953215,268.0,-46.23,-51.43
269,25.0,15.0,2401.0,269.0,-45.24,-50.54
270,-82.0,-82.0,0.0,270.0,-45.78,-51.03
271,-35.0,-40.0,25.0,271.0,-45.83,-51.03
272,-76.0,-76.0,0.0,272.0,-46.26,-51.36
273,-84.0,-94.0,14962.859143549862,273.0,-46.29,-51.49
274,-30.0,-35.0,0.0,274.0,-45.81,-51.06
275,-36.0,-36.0,6.0,275.0,-45.9,-51.05
276,-77.0,-87.0,3807.445336968508,276.0,-45.81,-51.06
277,-82.0,-87.0,0.0,277.0,-46.37,-51.57
278,-29.0,-29.0,2.0,278.0,-45.83,-51.03
279,-23.0,-33.0,4187.298095120668,279.0,-45.77,-51.07
280,-25.0,-35.0,2.0,280.0,-45.68,-51.03
281,-77.0,-82.0,11682.712460660216,281.0,-45.64,-51.04
282,-81.0,-81.0,0.0,282.0,-45.68,-51.08
283,-29.0,-34.0,3.0,283.0,-45.68,-51.03
284,-84.0,-99.0,15.0,284.0,-46.25,-51.7
285,-25.0,-30.0,0.0,285.0,-46.27,-51.72
286,-31.0,-36.0,0.0,286.0,-46.27,-51.77
287,-30.0,-40.0,0.0,287.0,-46.26,-51.81
288,-30.0,-40.0,0.0,288.0,-45.73,-51.33
289,-73.0,-78.0,0.0,289.0,-46.17,-51.72
290,32.0,22.0,4610.4202000000005,290.0,-45.6,-51.25
291,-27.0,-32.0,12.0,291.0,-45.55,-51.15
292,-28.0,-38.0,2353.2201,292.0,-45.48,-51.13
293,39.0,29.0,2404.0,293.0,-44.34,-50.04
294,-34.0,-44.0,0.0,294.0,-44.34,-50.09
295,-25.0,-25.0,0.0,295.0,-44.31,-50.01
296,-31.0,-41.0,0.0,296.0,-43.8,-49.6
297,-76.0,-76.0,0.0,297.0,-44.27,-50.02
