,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
240,-12.0,-17.0,5.0,240.0,190.5,-16.54,-24.69,581.2860913565687
241,-8.0,-18.0,0.0,241.0,191.5,-15.87,-24.07,562.945311405362
242,-11.0,-16.0,0.0,242.0,192.5,-15.8,-23.95,542.174914416846
243,-8.0,-13.0,0.0,243.0,193.5,-15.74,-23.89,542.174914416846
244,-15.0,-25.0,0.0,244.0,194.5,-15.66,-23.81,434.265665899514
245,-13.0,-23.0,0.0,245.0,195.5,-15.62,-23.77,434.265665899514
246,-11.0,-21.0,0.0,246.0,196.5,-15.51,-23.66,434.265665899514
247,-6.0,-16.0,0.0,247.0,197.5,-15.35,-23.5,434.235665899514
248,2.0,-8.0,0.0,248.0,198.5,-15.09,-23.34,434.225665899514
249,-9.0,-14.0,0.0,249.0,199.5,-14.97,-23.17,434.225665899514
250,-8.0,-18.0,0.0,250.0,200.5,-14.72,-22.92,392.6948342060992
251,-15.0,-25.0,0.0,251.0,201.5,-14.7,-22.9,392.6948342060992
252,-2.0,-12.0,0.0,252.0,202.5,-14.98,-23.23,368.5648342060992
253,5.0,0.0,0.0,253.0,203.5,-14.74,-22.94,368.5648342060992
254,-5.0,-5.0,0.0,254.0,204.5,-14.62,-22.72,368.5648342060992
255,-3.0,-8.0,0.0,255.0,205.5,-14.49,-22.54,368.5648342060992
256,-11.0,-21.0,0.0,256.0,206.5,-13.83,-21.88,305.2575349384395
257,-17.0,-22.0,17.0,257.0,207.5,-13.77,-21.77,305.4275349384395
258,-11.0,-21.0,4.0,258.0,208.5,-13.76,-21.76,305.46753493843954
259,-10.0,-20.0,0.0,259.0,209.5,-13.75,-21.75,305.46753493843954
260,-7.0,-17.0,0.0,260.0,210.5,-13.62,-21.67,305.46753493843954
261,-4.0,-14.0,0.0,261.0,211.5,-13.4,-21.5,305.46753493843954
262,-4.0,-14.0,0.0,262.0,212.5,-12.73,-20.93,244.351768656782
263,-6.0,-11.0,0.0,263.0,213.5,-12.54,-20.69,244.321768656782
264,67.0,52.0,4612.4202000000005,264.0,214.5,-11.67,-19.92,290.44597065678204
265,-15.0,-20.0,0.0,265.0,215.5,-11.58,-19.78,289.0527007452174
